time,u,v,w,p,q,r,phi_deg,theta_deg,psi_deg,airspeed,alpha_deg
1.083292340162248877e+02,1.037163047651764316e+02,2.782250665238978488e-02,-3.550727152082226556e+00,5.207612638005058641e-04,-8.068104583109730844e-05,2.460719460542945460e-03,1.670810250746402215e+00,-4.814070927638080200e+00,1.399622388303959575e+01,1.037770702590093919e+02,-1.960754927348989263e+00
1.083295263721475408e+02,1.037163765690544892e+02,2.782242301931052431e-02,-3.550740319115623933e+00,5.207658365220361758e-04,-8.063044089398107900e-05,2.460725566818195223e-03,1.670815507276293355e+00,-4.814073479932519994e+00,1.399626519081838616e+01,1.037771424713309898e+02,-1.960760836274677565e+00
1.083302572619541735e+02,1.037165560750083984e+02,2.782221399502510240e-02,-3.550773235991397048e+00,5.207772672856606638e-04,-8.050393589611077065e-05,2.460740832979216308e-03,1.670828648881344858e+00,-4.814079856991326345e+00,1.399636846082242059e+01,1.037773229983766043e+02,-1.960775608233089384e+00
1.083323094590236906e+02,1.037170600643979697e+02,2.782162754137514071e-02,-3.550865654799644666e+00,5.208093547130307650e-04,-8.014873906773143167e-05,2.460783701014577791e-03,1.670865550104356778e+00,-4.814097734455624611e+00,1.399665842725401887e+01,1.037778298546627411e+02,-1.960817082314527449e+00
1.083378098503652467e+02,1.037184106716309060e+02,2.782005894603209809e-02,-3.551113320534768025e+00,5.208952991084447783e-04,-7.919685776221695953e-05,2.460898624113847400e-03,1.670964469990048773e+00,-4.814145446208169865e+00,1.399743563933791712e+01,1.037791881449264366e+02,-1.960928223249660318e+00
1.083517059980164561e+02,1.037218214855393654e+02,2.781611710314297464e-02,-3.551738766004890469e+00,5.211120535335605130e-04,-7.679287360600725630e-05,2.461189135137353476e-03,1.671214481272150554e+00,-4.814264660034725196e+00,1.399939938301117337e+01,1.037826183629821912e+02,-1.961208880513924946e+00
1.083521538103385069e+02,1.037219313690169571e+02,2.781599057612757150e-02,-3.551758915297563490e+00,5.211190296520087223e-04,-7.671541792339184318e-05,2.461198501093789237e-03,1.671222540446675620e+00,-4.814268470213301399e+00,1.399946267070601280e+01,1.037827288716229077e+02,-1.961217921814386589e+00
1.083522001846320819e+02,1.037219427481526424e+02,2.781597747510360444e-02,-3.551761001884802038e+00,5.211197520490443592e-04,-7.670739651578060048e-05,2.461199471022621800e-03,1.671223375042637960e+00,-4.814268864673010739e+00,1.399946922463418275e+01,1.037827403154983585e+02,-1.961218858097308448e+00
1.083522465589256569e+02,1.037219541272667414e+02,2.781596437441533412e-02,-3.551763088467956297e+00,5.211204744400980190e-04,-7.669937544121169443e-05,2.461200440954162700e-03,1.671224209640205904e+00,-4.814269259111586763e+00,1.399947577856555903e+01,1.037827517593521094e+02,-1.961219794378177728e+00
1.083527103018614071e+02,1.037220679172211533e+02,2.781583338599585495e-02,-3.551783954074989591e+00,5.211276980216728244e-04,-7.661916974295790916e-05,2.461210140418667279e-03,1.671232555704173839e+00,-4.814273202335084711e+00,1.399954131805570334e+01,1.037828661966976540e+02,-1.961229157074061424e+00
1.083550290165401577e+02,1.037226368346267122e+02,2.781517894742533206e-02,-3.551888275987604704e+00,5.211638069579125438e-04,-7.621816034880050245e-05,2.461258641806747093e-03,1.671274288431498167e+00,-4.814292886756263101e+00,1.399986902031707636e+01,1.037834383509100178e+02,-1.961275967477200677e+00
1.083556314722315079e+02,1.037227846436942826e+02,2.781500904649658601e-02,-3.551915379562677888e+00,5.211731864473077803e-04,-7.611398148598790946e-05,2.461271244697721839e-03,1.671285132215645897e+00,-4.814297992578505436e+00,1.399995416625463740e+01,1.037835870009342329e+02,-1.961288129063236685e+00
1.083557832667014935e+02,1.037228218850271730e+02,2.781496624726846612e-02,-3.551922208458821562e+00,5.211755495401091884e-04,-7.608773281401081301e-05,2.461274420188692708e-03,1.671287864453417038e+00,-4.814299278476797284e+00,1.399997561967284732e+01,1.037836244541515498e+02,-1.961291193236489594e+00
1.083559350611714791e+02,1.037228591261287960e+02,2.781492345163663268e-02,-3.551929037311234882e+00,5.211779125688289355e-04,-7.606148364350319197e-05,2.461277595708691139e-03,1.671290596708376430e+00,-4.814300564148718209e+00,1.399999707312542263e+01,1.037836619071365334e+02,-1.961294257387772300e+00
1.083574530058713350e+02,1.037232315244251737e+02,2.781449569311031378e-02,-3.551997323429659126e+00,5.212015393316080190e-04,-7.579899895657081943e-05,2.461309352505141462e-03,1.671317920203206908e+00,-4.814313408417564055e+00,1.400021160954128696e+01,1.037840364242079829e+02,-1.961324897691965052e+00
1.083576901847306999e+02,1.037232897095697126e+02,2.781442888832528007e-02,-3.552007992740509490e+00,5.212052304344443748e-04,-7.575798343648984935e-05,2.461314314766766941e-03,1.671322189654501411e+00,-4.814315413289763868e+00,1.400024513116671088e+01,1.037840949404015163e+02,-1.961329685040971604e+00
1.083578208843154727e+02,1.037233217727856811e+02,2.781439207868808064e-02,-3.552013872116406734e+00,5.212072643836418093e-04,-7.573538259570287349e-05,2.461317049296806846e-03,1.671324542392704338e+00,-4.814316517856784827e+00,1.400026360360156552e+01,1.037841271860439605e+02,-1.961332323130590805e+00
1.083579515839002454e+02,1.037233538358301530e+02,2.781435527171689445e-02,-3.552019751459863706e+00,5.212092982853316729e-04,-7.571278203273241797e-05,2.461319783848359925e-03,1.671326895143644853e+00,-4.814317622255986251e+00,1.400028207606189845e+01,1.037841594315141265e+02,-1.961334961203913041e+00
1.083582783328621701e+02,1.037234339926910707e+02,2.781426326595267534e-02,-3.552034449676557237e+00,5.212143828317145587e-04,-7.565627861403610721e-05,2.461326620321369583e-03,1.671332777076722564e+00,-4.814320382519770902e+00,1.400032825732420960e+01,1.037842400444358049e+02,-1.961341556315902235e+00
1.083599120776717939e+02,1.037238347609170006e+02,2.781380348706335645e-02,-3.552107937718914865e+00,5.212398011098908282e-04,-7.537379223069040374e-05,2.461360804703183105e-03,1.671362187936084265e+00,-4.814334168106339185e+00,1.400055916602455852e+01,1.037846430928915566e+02,-1.961374530348070078e+00
